property_id,source_url,discovered_on_page,price_matches_discovery,title,address,description,price,price_listed,area,area_unit,area_marla,area_source,bedrooms,bathrooms,locality,latitude,longitude,latitude_clean,longitude_clean,coord_in_lahore,coord_source,loc_society,loc_phase,loc_phase_num,loc_sector,loc_block,loc_sub,loc_path,views,image_count,is_featured,has_video,created_at,clean_flags,exclusion_reason,excluded,fp_group_id,n_listings,fp_price_median,fp_price_spread,collapsed
9000000,https://example.invalid/synthetic/9000000,1,True,"22 Marla House for Sale in Gulberg, Lahore","Gulberg, Lahore, Punjab, Pakistan",,121600000.0,121600000.0,22.0,marla,22.0,payload,6,6,Gulberg,31.364018,74.555572,31.364018,74.555572,True,source,Gulberg,,,,,,Gulberg,4,27,False,False,2023-11-24 23:43:37+00:00,synthetic,,False,0,1,121600000.0,0.0,False
9000001,https://example.invalid/synthetic/9000001,1,True,"4.7 Marla House for Sale in Vital Homes Housing Scheme, Lahore","Vital Homes Housing Scheme, Lahore, Punjab, Pakistan",,15200000.0,15200000.0,4.7,marla,4.7,payload,4,5,Vital Homes Housing Scheme,31.164834,74.47838,31.164834,74.47838,True,source,Vital Homes Housing Scheme,,,,,,Vital Homes Housing Scheme,38,29,False,False,2023-11-24 07:01:23+00:00,synthetic,,False,1,1,15200000.0,0.0,False
9000002,https://example.invalid/synthetic/9000002,1,True,"2.9 Marla House for Sale in Al-Ahmad Garden, Lahore","Al-Ahmad Garden, Lahore, Punjab, Pakistan",,10600000.0,10600000.0,2.9,marla,2.9,payload,2,2,Al-Ahmad Garden,31.470242,74.402394,31.470242,74.402394,True,source,Al-Ahmad Garden,,,,,,Al-Ahmad Garden,45,18,False,False,2023-10-22 04:40:54+00:00,synthetic,,False,2,1,10600000.0,0.0,False
9000003,https://example.invalid/synthetic/9000003,1,True,"18.6 Marla House for Sale in Phase 1, State Life Housing Society, Lahore","Phase 1, State Life Housing Society, Lahore, Punjab, Pakistan",,64400000.0,64400000.0,18.6,marla,18.6,payload,4,6,State Life Housing Society,31.445274,74.079074,31.445274,74.079074,True,source,State Life Housing Society,Phase 1,1,,,,State Life Housing Society > Phase 1,54,25,False,False,2023-12-07 00:02:04+00:00,synthetic,,False,3,1,64400000.0,0.0,False
9000004,https://example.invalid/synthetic/9000004,1,True,"8.3 Marla House for Sale in Faisal Town, Lahore","Faisal Town, Lahore, Punjab, Pakistan",,33400000.0,33400000.0,8.3,marla,8.3,payload,4,4,Faisal Town,31.572239,74.739701,31.572239,74.739701,True,source,Faisal Town,,,,,,Faisal Town,13,12,False,False,2024-07-07 19:24:24+00:00,synthetic,,False,4,1,33400000.0,0.0,False
9000005,https://example.invalid/synthetic/9000005,1,True,"4.4 Marla House for Sale in Ghous Garden, Lahore","Ghous Garden, Lahore, Punjab, Pakistan",,11400000.0,11400000.0,4.4,marla,4.4,payload,3,4,Ghous Garden,31.69067,74.535545,31.69067,74.535545,True,source,Ghous Garden,,,,,,Ghous Garden,0,2,False,False,2023-12-22 06:11:55+00:00,synthetic,,False,5,1,11400000.0,0.0,False
9000006,https://example.invalid/synthetic/9000006,1,True,"19.5 Marla House for Sale in Block A, Phase XII (EME), DHA, Lahore","Block A, Phase XII (EME), DHA, Lahore, Punjab, Pakistan",,88000000.0,88000000.0,19.5,marla,19.5,payload,6,6,DHA,31.333085,73.965206,31.333085,73.965206,True,source,DHA,Phase XII (EME),12,,Block A,,DHA > Phase XII (EME) > Block A,1,15,False,False,2024-03-19 18:08:34+00:00,synthetic,,False,6,1,88000000.0,0.0,False
9000007,https://example.invalid/synthetic/9000007,1,True,"19.1 Marla House for Sale in Tariq Gardens, Lahore","Tariq Gardens, Lahore, Punjab, Pakistan",,80400000.0,80400000.0,19.1,marla,19.1,payload,6,6,Tariq Gardens,31.312032,74.342171,31.312032,74.342171,True,source,Tariq Gardens,,,,,,Tariq Gardens,31,25,False,False,2024-05-05 06:26:32+00:00,synthetic,,False,7,1,80400000.0,0.0,False
9000008,https://example.invalid/synthetic/9000008,1,True,"2.3 Marla House for Sale in Nishtar Colony, Lahore","Nishtar Colony, Lahore, Punjab, Pakistan",,5800000.0,5800000.0,2.3,marla,2.3,payload,3,3,Nishtar Colony,31.435904,73.983306,31.435904,73.983306,True,source,Nishtar Colony,,,,,,Nishtar Colony,45,14,False,False,2024-02-02 12:42:03+00:00,synthetic,,False,8,1,5800000.0,0.0,False
9000009,https://example.invalid/synthetic/9000009,1,True,"9.1 Marla House for Sale in Block G, Central Park Housing Scheme, Lahore","Block G, Central Park Housing Scheme, Lahore, Punjab, Pakistan",,22600000.0,22600000.0,9.1,marla,9.1,payload,5,6,Central Park Housing Scheme,31.299722,74.575452,31.299722,74.575452,True,source,Central Park Housing Scheme,,,,Block G,,Central Park Housing Scheme > Block G,32,3,False,False,2024-08-23 13:19:35+00:00,synthetic,,False,9,1,22600000.0,0.0,False
